,,,,,,,,,
,,,,,,,,,
Treat,Treatment,Assay,Replicate (cage),,Centroid,Line9-10,Angle7-8-9,Angle3-10-4,Angle2-4-8
mh_d5,Hot,Cold,5,Angle2-4-8,"-0.04 (-0.41, 0.24)","0.05 (-0.23, 0.33)","-0.13 (-0.43, 0.21)","-0.09 (-0.41, 0.19)","0.00017 (8e-05, 0.00025)"
mh_u1,Hot,Hot,1,Centroid,"7e-05 (0, 0.00015)","0.00015 (-5e-05, 0.00037)","8e-05 (-6e-05, 0.00024)","-1e-05 (-0.00013, 0.00012)","-2e-05 (-8e-05, 2e-05)"
mh_u1,Hot,Hot,1,Line9-10,"0.37 (-0.08, 0.86)","0.0028 (0.00141, 0.00431)","0.00088 (0.00021, 0.00159)","0.00034 (-0.00025, 9e-04)","-0.00015 (-4e-04, 4e-05)"
mh_u1,Hot,Hot,1,Angle7-8-9,"0.29 (-0.22, 0.77)","0.44 (0.18, 0.73)","0.00144 (0.00069, 0.00215)","0.00025 (-0.00015, 0.00066)","-0.00013 (-0.00027, 3e-05)"
mh_u1,Hot,Hot,1,Angle3-10-4,"-0.01 (-0.52, 0.53)","0.2 (-0.14, 0.53)","0.22 (-0.15, 0.55)","0.00104 (0.00047, 0.00158)","-3e-05 (-0.00016, 1e-04)"
mh_u1,Hot,Hot,1,Angle2-4-8,"-0.2 (-0.65, 0.21)","-0.19 (-0.51, 0.06)","-0.25 (-0.51, 0.06)","-0.06 (-0.36, 0.21)","0.00021 (0.00014, 0.00029)"
mh_u2,Hot,Hot,2,Centroid,"0.00025 (0.00011, 0.00038)","3e-05 (-0.00015, 0.00022)","-0.00021 (-0.00038, -1e-05)","-9e-05 (-0.00025, 6e-05)","-1e-05 (-6e-05, 5e-05)"
mh_u2,Hot,Hot,2,Line9-10,"0.05 (-0.3, 0.4)","0.00135 (0.00049, 0.0021)","-0.00012 (-0.00055, 0.00032)","0.00046 (2e-05, 8e-04)","-0.00016 (-3e-04, -3e-05)"
mh_u2,Hot,Hot,2,Angle7-8-9,"-0.35 (-0.7, -0.08)","-0.09 (-0.39, 0.23)","0.0016 (0.00096, 0.00224)","3e-04 (-5e-05, 6e-04)","-0.00014 (-0.00028, -1e-05)"
mh_u2,Hot,Hot,2,Angle3-10-4,"-0.16 (-0.41, 0.13)","0.35 (0.07, 0.65)","0.21 (-0.02, 0.43)","0.00134 (0.00091, 0.00173)","-0.00028 (-0.00039, -0.00018)"
mh_u2,Hot,Hot,2,Angle2-4-8,"-0.04 (-0.31, 0.23)","-0.32 (-0.58, -0.06)","-0.25 (-0.49, -0.07)","-0.54 (-0.72, -0.35)","2e-04 (0.00014, 0.00025)"
mh_u3,Hot,Hot,3,Centroid,"4e-05 (0, 0.00011)","-1e-05 (-0.00021, 0.00019)","-3e-05 (-0.00018, 9e-05)","-4e-05 (-0.00018, 9e-05)","0 (-4e-05, 5e-05)"
mh_u3,Hot,Hot,3,Line9-10,"-0.03 (-0.59, 0.55)","0.00362 (0.00208, 0.00522)","0.00057 (-0.00026, 0.00131)","0.00096 (0.00029, 0.00165)","-0.00038 (-0.00062, -0.00011)"
mh_u3,Hot,Hot,3,Angle7-8-9,"-0.11 (-0.67, 0.45)","0.22 (-0.06, 0.5)","0.0018 (0.00098, 0.0026)","0.00027 (-0.00018, 0.00071)","-0.00021 (-0.00041, -3e-05)"
mh_u3,Hot,Hot,3,Angle3-10-4,"-0.15 (-0.68, 0.44)","0.37 (0.16, 0.59)","0.14 (-0.12, 0.36)","0.00186 (0.00131, 0.00242)","-0.00035 (-0.00051, -0.00018)"
mh_u3,Hot,Hot,3,Angle2-4-8,"0.07 (-0.54, 0.68)","-0.44 (-0.67, -0.16)","-0.35 (-0.63, -0.04)","-0.56 (-0.77, -0.36)","2e-04 (0.00011, 0.00029)"
mh_u4,Hot,Hot,4,Centroid,"2e-04 (4e-05, 0.00034)","-0.00015 (-0.00037, 8e-05)","-0.00017 (-0.00037, 2e-05)","-0.00016 (-0.00031, 0)","4e-05 (-2e-05, 1e-04)"
mh_u4,Hot,Hot,4,Line9-10,"-0.27 (-0.67, 0.11)","0.00172 (0.00072, 0.0028)","2e-04 (-0.00035, 0.00072)","4e-05 (-0.00037, 0.00045)","-4e-05 (-0.00019, 0.00012)"
mh_u4,Hot,Hot,4,Angle7-8-9,"-0.32 (-0.67, 0.06)","0.13 (-0.2, 0.46)","0.00169 (0.00105, 0.00237)","0.00018 (-0.00017, 0.00053)","-0.00021 (-0.00035, -6e-05)"
mh_u4,Hot,Hot,4,Angle3-10-4,"-0.37 (-0.73, -0.05)","0.03 (-0.3, 0.34)","0.14 (-0.11, 0.43)","0.00101 (0.00055, 0.0014)","-2e-05 (-0.00013, 9e-05)"
mh_u4,Hot,Hot,4,Angle2-4-8,"0.22 (-0.1, 0.55)","-0.09 (-0.39, 0.25)","-0.41 (-0.64, -0.18)","-0.03 (-0.3, 0.24)","0.00016 (1e-04, 0.00022)"
mh_u5,Hot,Hot,5,Centroid,"0.00028 (0.00012, 0.00044)","-0.00012 (-0.00039, 0.00015)","4e-05 (-0.00018, 0.00028)","-0.00025 (-0.00043, -8e-05)","-1e-05 (-7e-05, 5e-05)"
mh_u5,Hot,Hot,5,Line9-10,"-0.14 (-0.44, 0.2)","0.00258 (0.00125, 0.00381)","-0.00011 (-0.00073, 0.00054)","1e-04 (-0.00037, 0.00058)","-0.00019 (-0.00037, 0)"
mh_u5,Hot,Hot,5,Angle7-8-9,"0.04 (-0.21, 0.36)","-0.05 (-0.32, 0.21)","0.00267 (0.00193, 0.00346)","-9e-05 (-5e-04, 0.00029)","-0.00021 (-0.00037, -8e-05)"
mh_u5,Hot,Hot,5,Angle3-10-4,"-0.46 (-0.75, -0.18)","0.06 (-0.21, 0.34)","-0.05 (-0.28, 0.18)","0.00113 (0.00069, 0.00158)","-1e-05 (-0.00011, 0.00011)"
mh_u5,Hot,Hot,5,Angle2-4-8,"-0.05 (-0.36, 0.2)","-0.29 (-0.53, 0)","-0.31 (-0.53, -0.1)","-0.02 (-0.27, 0.24)","0.00018 (0.00012, 0.00025)"
mmc_d1,Migration-Cold,Cold,1,Centroid,"0.00017 (6e-05, 0.00026)","-0.00016 (-0.00035, 4e-05)","0.00014 (-2e-05, 0.00033)","-0.00033 (-0.00049, -0.00014)","5e-05 (-2e-05, 0.00011)"
mmc_d1,Migration-Cold,Cold,1,Line9-10,"-0.25 (-0.57, 0.04)","0.00252 (0.00167, 0.00341)","0.00051 (-3e-05, 0.00117)","0.00065 (0.00015, 0.00114)","-0.00046 (-0.00068, -0.00026)"
mmc_d1,Migration-Cold,Cold,1,Angle7-8-9,"0.29 (-0.06, 0.62)","0.25 (-0.03, 0.53)","0.00161 (0.00078, 0.00249)","-0.00031 (-0.00079, 0.00016)","-2e-05 (-0.00021, 0.00017)"
mmc_d1,Migration-Cold,Cold,1,Angle3-10-4,"-0.54 (-0.77, -0.32)","0.27 (0.07, 0.47)","-0.17 (-0.42, 0.1)","0.00232 (0.00167, 0.00287)","-0.00041 (-6e-04, -0.00023)"
mmc_d1,Migration-Cold,Cold,1,Angle2-4-8,"0.21 (-0.07, 0.47)","-0.5 (-0.67, -0.32)","-0.03 (-0.32, 0.22)","-0.46 (-0.63, -0.32)","0.00034 (0.00023, 0.00042)"
mmc_d2,Migration-Cold,Cold,2,Centroid,"0.00013 (0, 0.00025)","-7e-05 (-0.00026, 0.00012)","2e-05 (-2e-04, 0.00024)","-2e-04 (-0.00036, 0)","4e-05 (-1e-05, 1e-04)"
mmc_d2,Migration-Cold,Cold,2,Line9-10,"-0.16 (-0.63, 0.29)","0.00169 (0.00083, 0.00258)","0.00083 (9e-05, 0.0014)","0.00049 (8e-05, 0.00098)","-0.00026 (-0.00044, -0.00011)"
mmc_d2,Migration-Cold,Cold,2,Angle7-8-9,"0.02 (-0.4, 0.36)","0.36 (0.09, 0.62)","0.0034 (0.00222, 0.00444)","1e-05 (-0.00055, 0.00054)","-0.00014 (-3e-04, 6e-05)"
mmc_d2,Migration-Cold,Cold,2,Angle3-10-4,"-0.49 (-0.83, -0.19)","0.31 (0.07, 0.58)","0 (-0.26, 0.25)","0.00143 (0.00087, 0.0019)","-0.00031 (-0.00045, -0.00018)"
mmc_d2,Migration-Cold,Cold,2,Angle2-4-8,"0.27 (-0.07, 0.67)","-0.42 (-0.64, -0.21)","-0.15 (-0.32, 0.08)","-0.55 (-0.72, -0.38)","0.00023 (0.00016, 3e-04)"
mmc_d3,Migration-Cold,Cold,3,Centroid,"0.00012 (0, 0.00023)","0.00015 (-4e-05, 0.00035)","-6e-05 (-0.00027, 0.00013)","-3e-05 (-0.00019, 0.00013)","-6e-05 (-0.00013, 1e-05)"
mmc_d3,Migration-Cold,Cold,3,Line9-10,"0.31 (-0.09, 0.7)","0.00225 (0.00124, 0.00319)","0.00044 (-0.00025, 0.00107)","-9e-05 (-6e-04, 0.00038)","-0.00024 (-0.00045, -2e-05)"
mmc_d3,Migration-Cold,Cold,3,Angle7-8-9,"-0.1 (-0.47, 0.3)","0.19 (-0.09, 0.45)","0.00259 (0.00152, 0.00356)","-0.00026 (-0.00079, 0.00023)","-8e-05 (-0.00029, 0.00016)"
